pesel,wojewodztwo,dpd_max_3,id_branzy,id_doradcy,id_kanalu_pozyskania,id_klienta,id_oddzialu,id_plec,id_pracownika_centrali,id_stanu_cywilnego,id_statusu_wlascicielskiego,id_uzytkownika_ph,id_wniosku,kwota_pozyczki,liczba_dzieci,pozostalo_prowizja_min_3,wiek,pd
44112607890,mazowieckie,11,1,331,1,1,113,1,0,4,4,0,0,2000,0,40,67,"0,195361904"
82070918229,podkarpackie,6,1,1637,4,311601,56,1,1851,2,4,0,1333219,4000,1,5529,34,"0,1036676389"
49081004215,małopolskie,17,0,1373,0,228289,50,2,0,1,1,0,1333227,3000,0,0,67,"0,151094905"
73093006709,pomorskie,25,9,2403,2,223885,108,1,1427,6,1,1517,1333229,5000,0,2916,43,"0,363975859"
61050902445,warmińsko-mazurskie,21,0,612,0,5302,10,1,0,2,5,0,1333235,5000,2,16032,55,"0,0809100583"
73093006709,pomorskie,25,9,2403,2,223885,108,1,1427,6,1,1517,1333229,5000,0,2916,43,"0,363975859"
52012012188,warmińsko-mazurskie,0,0,1389,0,248015,12,1,0,4,1,0,1333231,3000,0,2739,65,"0,0717883418"
87092301062,lubuskie,-25,12,1065,4,374855,105,1,465,1,4,0,1333249,2000,1,0,29,"0,0582559011"
47030902331,wielkopolskie,1,0,1339,0,29122,34,2,0,2,4,0,1333067,3000,0,9528,69,"0,132948651"
,wielkopolskie,-1,0,939,0,212603,82,1,0,4,1,0,1333267,2000,0,0,66,"0,0760442494"
,łódzkie,8,0,881,0,43391,76,1,0,2,3,0,1333277,2000,0,7864,67,"0,098675616"
,lubelskie,0,0,691,0,375703,29,1,0,2,5,0,1333251,7000,0,0,69,"0,0298940968"
,zachodniopomorskie,0,0,2107,4,375699,79,1,2405,4,2,0,1333305,3000,0,0,58,"0,0870539754"
,śląskie,0,0,1569,4,375301,55,1,2429,4,1,0,1330737,3000,0,0,58,"0,0536830033"
,wielkopolskie,3,0,1539,0,241793,25,1,0,2,1,0,1333317,5000,0,8441,65,"0,0678310632"
,warmińsko-mazurskie,0,0,1555,0,375707,12,1,0,2,1,0,1333301,2000,0,0,53,"0,0298693634"
,wielkopolskie,0,9,1271,2,341893,115,2,1313,2,4,1453,1333295,7000,0,26621,54,"0,1083189625"
,mazowieckie,14,6,1293,2,255831,9,2,246,2,4,1175,1333341,3000,0,0,25,"0,259566623"
,mazowieckie,0,0,2433,0,250121,20,1,0,4,1,0,1333325,3000,0,0,66,"0,0402964027"
,pomorskie,0,0,2312,4,375711,117,2,0,1,1,0,1333259,500,0,0,33,"0,1024963639"
,wielkopolskie,0,9,1271,2,341893,115,2,1313,2,4,1453,1333369,3000,0,26621,54,"0,1083189625"
,podkarpackie,0,7,1211,4,375715,51,2,2205,2,1,0,1333323,3000,1,0,35,"0,1520791431"
,małopolskie,0,0,959,2,260769,89,2,2389,2,3,1186,1333359,5000,1,0,56,"0,1141437646"
,wielkopolskie,16,0,1613,0,275287,82,2,0,3,1,0,1333397,3000,0,10937,60,"0,340811867"
,łódzkie,0,0,1489,2,288183,83,1,1313,1,3,1305,1333401,2000,0,8035,47,"0,2089611625"
,lubelskie,0,0,691,0,375703,29,1,0,2,5,0,1333251,7000,0,0,69,"0,0298940968"
